Referência,Data,Data de check-in,Data de check-out,Aluguer com imposto,Aluguer sem imposto,Imposto do aluguer,Extras com imposto,Extras sem imposto,Imposto dos extras,Total da reserva com imposto,Total da reserva sem imposto,Total imposto,Pagamento,Pendente,Nome alojamento,Localidade,Portal,Comissão portal/intermediário: comissão calculada,Comissão portal/intermediário: comissão personalizada
426,02-01-2023,06-01-2023,08-01-2023,1524,1524,0,282,282,0,1806,1806,0,1806,0,327,Florianópolis,Airbnb.com,278.99,278.989990234375
427,07-12-2022,26-12-2022,01-01-2023,1951,1951,0,373,373,0,2324,2324,0,2324,0,211,Florianópolis,Airbnb.com,279.15,279.1499938964844
428,20-01-2023,23-02-2023,26-02-2023,7499,7499,0,366,366,0,7865,7865,0,7865,0,215,Florianópolis,Airbnb.com,1215.01,1215.010009765625
429,13-12-2022,30-12-2022,03-01-2023,2366,2366,0,176,176,0,2542,2542,0,2542,0,306,Balneário Camboriú,Booking.com,,330.4599914550781
430,12-12-2022,30-12-2022,02-01-2023,2096.16,2096.16,0,210,210,0,2306.16,2306.16,0,2306.16,0,162,Florianópolis,Booking.com,,299.7999877929688
431,16-12-2022,10-01-2023,11-01-2023,0,0,0,0,0,0,0,0,0,0,0,310,Florianópolis,,,
432,12-12-2022,09-01-2023,27-01-2023,2202,2202,0,262,262,0,2464,2464,0,2464,0,272,Florianópolis,Airbnb.com,380.64,380.6400146484375
433,06-12-2022,17-12-2022,20-12-2022,1434,1434,0,170,170,0,1604,1604,0,1604,0,153,Florianópolis,Airbnb.com,247.79,247.7899932861328
434,02-12-2022,02-12-2022,04-12-2022,944,944,0,168,168,0,1112,1112,0,1112,0,369,Florianópolis,Airbnb.com,171.78,171.7799987792969
435,18-12-2022,29-12-2022,02-01-2023,0,0,0,0,0,0,0,0,0,0,0,147,Florianópolis,,,
436,07-01-2023,25-01-2023,26-01-2023,813,813,0,249,249,0,1062,1062,0,0,0,307,Itapema,Airbnb.com,121.95,
437,21-12-2022,22-12-2022,23-12-2022,6489,6489,0,271,271,0,6760,6760,0,6760,0,225,Florianópolis,Airbnb.com,973.35,
438,15-01-2023,17-01-2023,25-01-2023,3288,3288,0,354,354,0,3642,3642,0,3642,0,114,Balneário Camboriú,Airbnb.com,493.2,
439,30-11-2022,06-12-2022,09-12-2022,1661.61,1661.61,0,250,250,0,1911.61,1911.61,0,1911.61,0,144,Florianópolis,Booking.com,,248.5099945068359
440,06-12-2022,30-01-2023,04-02-2023,2200,2200,0,249,249,0,2449,2449,0,2449,0,162,Florianópolis,Airbnb.com,330,
441,14-12-2022,27-12-2022,03-01-2023,2560,2560,0,200,200,0,2760,2760,0,2760,0,400,Florianópolis,Airbnb.com,426.36,426.3599853515625
442,18-01-2023,23-01-2023,28-01-2023,0,0,0,0,0,0,0,0,0,0,0,311,Florianópolis,,,
443,19-12-2022,01-01-2023,02-01-2023,1448,1448,0,196,196,0,1644,1644,0,1644,0,252,Florianópolis,Airbnb.com,217.2,
444,23-01-2023,28-02-2023,05-03-2023,4075,4075,0,299,299,0,4374,4374,0,4374,0,359,Florianópolis,Airbnb.com,611.25,
445,08-12-2022,09-12-2022,14-12-2022,0,0,0,0,0,0,0,0,0,0,0,167,Balneário Camboriú,,,
446,15-12-2022,15-12-2022,18-12-2022,1981,1981,0,294,294,0,2275,2275,0,2275,0,123,Florianópolis,Airbnb.com,351.44,351.4400024414062
447,24-01-2023,01-02-2023,02-02-2023,2380.9,2380.9,0,331,331,0,2711.9,2711.9,0,2711.9,0,330,Florianópolis,Booking.com,,352.5499877929688
448,05-01-2023,18-02-2023,25-02-2023,0,0,0,0,0,0,0,0,0,0,0,322,Florianópolis,,,
449,19-01-2023,01-02-2023,04-02-2023,0,0,0,0,0,0,0,0,0,0,0,280,Florianópolis,,,
450,31-12-2022,02-01-2023,09-01-2023,0,0,0,0,0,0,0,0,0,0,0,259,Florianópolis,,,
451,27-12-2022,30-12-2022,05-01-2023,0,0,0,0,0,0,0,0,0,0,0,111,Florianópolis,,,
452,21-12-2022,16-01-2023,17-01-2023,1807.72,1807.72,0,236,236,0,2043.72,2043.72,0,2043.72,0,234,Florianópolis,Booking.com,,265.6799926757812
453,09-12-2022,01-03-2023,02-03-2023,3566.4,3566.4,0,336,336,0,3902.4,3902.4,0,3902.4,0,168,Florianópolis,Airbnb.com,534.9589999999999,
454,30-11-2022,04-12-2022,05-12-2022,49,49,0,0,0,0,49,49,0,0,49,379,Florianópolis,,,
455,08-12-2022,20-02-2023,01-03-2023,3864,3864,0,286,286,0,4150,4150,0,4150,0,173,Balneário Camboriú,Airbnb.com,579.6,
456,15-12-2022,01-01-2023,02-01-2023,2455,2455,0,200,200,0,2655,2655,0,2655,0,333,Florianópolis,Airbnb.com,368.25,
457,10-01-2023,17-01-2023,26-01-2023,4688,4688,0,280,280,0,4968,4968,0,4968,0,314,Florianópolis,Airbnb.com,703.2,
458,01-01-2023,09-02-2023,15-02-2023,2379,2379,0,179,179,0,2558,2558,0,2558,0,290,Florianópolis,Airbnb.com,356.85,
459,23-12-2022,17-02-2023,22-02-2023,0,0,0,0,0,0,0,0,0,0,0,106,Florianópolis,,,
460,10-12-2022,17-12-2022,21-12-2022,4197.6,4197.6,0,238,238,0,4435.6,4435.6,0,4435.6,0,321,Balneário Camboriú,Booking.com,,576.6300048828125
461,06-01-2023,15-01-2023,16-01-2023,2152,2152,0,233,233,0,2385,2385,0,2385,0,117,Florianópolis,Airbnb.com,368.43,368.4299926757812
462,09-01-2023,13-01-2023,16-01-2023,0,0,0,0,0,0,0,0,0,0,0,158,Florianópolis,,,
463,24-01-2023,17-02-2023,22-02-2023,1400,1400,0,262,262,0,1662,1662,0,1662,0,393,Florianópolis,Airbnb.com,256.75,256.75
464,05-12-2022,23-02-2023,28-02-2023,0,0,0,0,0,0,0,0,0,0,0,216,Florianópolis,Booking.com,,
465,28-12-2022,10-02-2023,17-02-2023,2580,2580,0,251,251,0,2831,2831,0,2831,0,392,Florianópolis,Airbnb.com,437.33,437.3299865722656
466,13-12-2022,13-02-2023,14-02-2023,6836.4,6836.4,0,224,224,0,7060.4,7060.4,0,7060.4,0,137,Florianópolis,Airbnb.com,1090.68,1090.680053710938
467,14-01-2023,17-02-2023,18-02-2023,5725,5725,0,259,259,0,5984,5984,0,5984,0,319,Florianópolis,Airbnb.com,924.41,924.4099731445312
468,11-12-2022,23-12-2022,26-12-2022,1931,1931,0,207,207,0,2138,2138,0,2138,0,139,Florianópolis,Airbnb.com,330.25,330.25
469,27-12-2022,06-01-2023,07-01-2023,2372,2372,0,262,262,0,2634,2634,0,2634,0,120,Florianópolis,Airbnb.com,406.9,406.8999938964844
470,27-11-2022,01-12-2022,02-12-2022,1506.13,1506.13,0,344,344,0,1850.13,1850.13,0,1850.13,0,339,Florianópolis,Booking.com,,240.5200042724609
471,22-12-2022,29-12-2022,30-12-2022,348,348,0,165,165,0,513,513,0,513,0,347,Florianópolis,Airbnb.com,79.25,79.25
472,30-11-2022,01-12-2022,04-12-2022,448.5,448.5,0,137,137,0,585.5,585.5,0,585.5,0,241,Florianópolis,Booking.com,,76.11000061035156
473,15-01-2023,16-01-2023,27-01-2023,3939,3939,0,308,308,0,4247,4247,0,4247,0,325,Florianópolis,Airbnb.com,656.0599999999999,656.0599975585938
474,12-01-2023,04-02-2023,05-02-2023,5608,5608,0,795,795,0,6403,6403,0,6403,0,276,Florianópolis,Airbnb.com,989.13,989.1300048828125
475,28-11-2022,15-01-2023,21-01-2023,0,0,0,0,0,0,0,0,0,0,0,339,Florianópolis,,,
476,19-01-2023,27-01-2023,04-02-2023,0,0,0,245,245,0,245,245,0,0,245,195,Florianópolis,,,
477,07-12-2022,29-12-2022,01-01-2023,2982.51,2982.51,0,271,271,0,3253.51,3253.51,0,3253.51,0,397,Florianópolis,Booking.com,,422.9599914550781
478,29-12-2022,24-01-2023,30-01-2023,778.75,778.75,0,149,149,0,927.75,927.75,0,927.75,0,355,Florianópolis,Booking.com,,120.6100006103516
479,13-01-2023,17-01-2023,23-01-2023,1870,1870,0,293,293,0,2163,2163,0,2163,0,265,Florianópolis,Airbnb.com,334.14,334.1400146484375
480,04-01-2023,23-01-2023,30-01-2023,0,0,0,0,0,0,0,0,0,0,0,137,Florianópolis,,,
481,09-12-2022,15-12-2022,18-12-2022,0,0,0,172,172,0,172,172,0,0,172,325,Florianópolis,,,
482,02-12-2022,15-01-2023,29-01-2023,1231,1231,0,174,174,0,1405,1405,0,1405,0,188,Florianópolis,Airbnb.com,217.04,217.0399932861328
483,10-01-2023,30-01-2023,04-02-2023,0,0,0,525,525,0,525,525,0,0,525,311,Florianópolis,,,
484,04-12-2022,12-12-2022,27-12-2022,246,246,0,0,0,0,246,246,0,246,0,377,Florianópolis,,,
485,30-12-2022,04-01-2023,07-01-2023,0,0,0,217,217,0,217,217,0,0,217,267,Florianópolis,,,
486,04-12-2022,20-01-2023,27-01-2023,0,0,0,0,0,0,0,0,0,0,0,253,Florianópolis,,,
487,01-12-2022,04-12-2022,05-12-2022,0,0,0,0,0,0,0,0,0,0,0,330,Florianópolis,,,
488,12-12-2022,30-12-2022,02-01-2023,0,0,0,0,0,0,0,0,0,0,0,215,Florianópolis,,,
489,16-01-2023,01-02-2023,05-02-2023,598,598,0,137,137,0,735,735,0,735,0,284,Florianópolis,Booking.com,,95.55000305175781
490,10-01-2023,02-03-2023,06-03-2023,1642.05,1642.05,0,138,138,0,1780.05,1780.05,0,1780.05,0,159,Florianópolis,Booking.com,,231.4100036621094
491,23-01-2023,06-03-2023,11-03-2023,1360,1360,0,200,200,0,1560,1560,0,0,0,369,Florianópolis,Airbnb.com,240.99,240.9900054931641
492,15-01-2023,06-02-2023,07-02-2023,8042,8042,0,306,306,0,8348,8348,0,8348,0,314,Florianópolis,Airbnb.com,1289.6,1289.599975585938
493,17-12-2022,09-01-2023,24-01-2023,2774,2774,0,187,187,0,2961,2961,0,2961,0,366,Florianópolis,Airbnb.com,457.4,457.3999938964844
494,04-01-2023,05-01-2023,14-01-2023,1999.6,1999.6,0,207,207,0,2206.6,2206.6,0,2206.6,0,313,Florianópolis,Booking.com,,286.8599853515625
495,16-01-2023,07-02-2023,14-02-2023,655,655,0,182,182,0,837,837,0,837,0,211,Florianópolis,Airbnb.com,129.3,129.3000030517578
496,15-01-2023,16-01-2023,26-01-2023,2646,2646,0,218,218,0,2864,2864,0,2864,0,373,Florianópolis,Airbnb.com,442.43,442.4299926757812
497,10-12-2022,29-12-2022,03-01-2023,1072,1072,0,146,146,0,1218,1218,0,1218,0,341,Florianópolis,Booking.com,,158.3399963378906
498,14-01-2023,22-01-2023,30-01-2023,9369.360000000001,9369.360000000001,0,331,331,0,9700.360000000001,9700.360000000001,0,9700.360000000001,0,129,Florianópolis,Booking.com,,1261.050048828125
499,09-12-2022,14-02-2023,24-02-2023,2435,2435,0,303,303,0,2738,2738,0,2738,0,158,Florianópolis,Airbnb.com,422.97,422.9700012207031
500,06-12-2022,22-02-2023,23-02-2023,0,0,0,0,0,0,0,0,0,0,0,257,Florianópolis,,,
501,14-12-2022,31-01-2023,01-02-2023,0,0,0,0,0,0,0,0,0,0,0,268,Florianópolis,,,
502,07-01-2023,06-02-2023,09-02-2023,2539,2539,0,186,186,0,2725,2725,0,2725,0,311,Bombinhas,Airbnb.com,420.96,420.9599914550781
503,20-01-2023,06-02-2023,07-02-2023,0,0,0,261,261,0,261,261,0,0,261,382,Florianópolis,,,
504,14-12-2022,04-01-2023,15-01-2023,4285,4285,0,194,194,0,4479,4479,0,4479,0,261,Florianópolis,Airbnb.com,691.91,691.9099731445312
505,13-01-2023,09-02-2023,12-02-2023,0,0,0,0,0,0,0,0,0,0,0,251,Florianópolis,,,
506,12-01-2023,13-01-2023,16-01-2023,0,0,0,0,0,0,0,0,0,0,0,312,Florianópolis,,,
507,03-01-2023,04-01-2023,07-01-2023,0,0,0,0,0,0,0,0,0,0,0,254,Balneário Camboriú,,,
508,12-01-2023,13-01-2023,16-01-2023,0,0,0,0,0,0,0,0,0,0,0,229,Balneário Camboriú,Booking.com,,
509,09-12-2022,30-12-2022,02-01-2023,3279.29,3279.29,0,282,282,0,3561.29,3561.29,0,0,0,342,Florianópolis,Booking.com,,462.9700012207031
510,21-01-2023,27-01-2023,28-01-2023,2022.6,2022.6,0,271,271,0,2293.6,2293.6,0,2293.6,0,352,Florianópolis,Booking.com,,298.1700134277344
511,07-01-2023,14-02-2023,15-02-2023,1740.06,1740.06,0,165,165,0,1905.06,1905.06,0,1905.06,0,270,Florianópolis,Booking.com,,247.6600036621094
512,04-01-2023,16-01-2023,20-01-2023,1937.75,1937.75,0,290,290,0,2227.75,2227.75,0,0,2227.75,330,Florianópolis,Anfitrioesdealuguel.com.br,193.775,
513,07-12-2022,09-01-2023,13-01-2023,6032,6032,0,348,348,0,6380,6380,0,6380,0,220,Florianópolis,Airbnb.com,985.58,985.5800170898438
514,18-12-2022,25-01-2023,31-01-2023,2480.42,2480.42,0,174,174,0,2654.42,2654.42,0,2654.42,0,245,Florianópolis,Booking.com,,345.0700073242188
515,19-12-2022,29-12-2022,02-01-2023,1443,1443,0,293,293,0,1736,1736,0,1736,0,118,Florianópolis,Airbnb.com,268.18,268.1799926757812
516,21-01-2023,25-01-2023,06-02-2023,0,0,0,150,150,0,150,150,0,0,150,371,Florianópolis,,,
517,11-12-2022,20-12-2022,25-12-2022,0,0,0,0,0,0,0,0,0,0,0,149,Florianópolis,,,
518,06-01-2023,17-02-2023,18-02-2023,0,0,0,0,0,0,0,0,0,0,0,115,Florianópolis,,,
519,16-12-2022,20-12-2022,23-12-2022,0,0,0,0,0,0,0,0,0,0,0,107,Florianópolis,,,
520,07-01-2023,13-02-2023,20-02-2023,0,0,0,0,0,0,0,0,0,0,0,263,Florianópolis,,,
521,26-12-2022,29-12-2022,30-12-2022,1068.08,1068.08,0,228,228,0,1296.08,1296.08,0,1296.08,0,239,Florianópolis,Booking.com,,168.4900054931641
522,06-12-2022,07-12-2022,23-12-2022,1629,1629,0,303,303,0,1932,1932,0,1932,0,239,Florianópolis,Airbnb.com,298.46,298.4599914550781
523,05-12-2022,05-12-2022,06-12-2022,5095.95,5095.95,0,272,272,0,5367.95,5367.95,0,5367.95,0,237,Florianópolis,Booking.com,,697.8300170898438
524,08-01-2023,24-02-2023,04-03-2023,3932.98,3932.98,0,159,159,0,4091.98,4091.98,0,4091.98,0,366,Florianópolis,Booking.com,,531.9600219726562
525,29-12-2022,30-12-2022,02-01-2023,4935,4935,0,301,301,0,5236,5236,0,5236,0,245,Florianópolis,Airbnb.com,808.85,808.8499755859375
526,04-01-2023,31-01-2023,01-02-2023,2351.23,2351.23,0,333,333,0,2684.23,2684.23,0,2684.23,0,356,Florianópolis,Booking.com,,348.9500122070312
527,04-01-2023,04-01-2023,08-01-2023,3203,3203,0,268,268,0,3471,3471,0,3471,0,188,Florianópolis,Airbnb.com,536.1799999999999,536.1799926757812
528,09-12-2022,21-01-2023,31-01-2023,311.26,311.26,0,138,138,0,449.26,449.26,0,449.26,0,101,Balneário Camboriú,Booking.com,,58.40000152587891
529,04-01-2023,06-01-2023,12-01-2023,288.89,288.89,0,0,0,0,288.89,288.89,0,0,0,151,Florianópolis,,,
530,20-01-2023,22-01-2023,27-01-2023,0,0,0,0,0,0,0,0,0,0,0,244,Florianópolis,Booking.com,,
531,28-12-2022,22-01-2023,25-01-2023,1947,1947,0,248,248,0,2195,2195,0,2195,0,258,Florianópolis,Airbnb.com,339.08,339.0799865722656
532,31-12-2022,17-02-2023,20-02-2023,7107,7107,0,562,562,0,7669,7669,0,7669,0,138,Florianópolis,Airbnb.com,1184.71,1184.7099609375
533,13-12-2022,31-01-2023,08-02-2023,2656,2656,0,239,239,0,2895,2895,0,2895,0,184,Florianópolis,Airbnb.com,447.22,447.2200012207031
534,01-12-2022,01-12-2022,05-12-2022,4283.16,4283.16,0,282,282,0,4565.16,4565.16,0,4565.16,0,386,Florianópolis,Booking.com,,593.469970703125
535,06-12-2022,26-01-2023,02-02-2023,1131,1131,0,192,192,0,1323,1323,0,1323,0,351,Florianópolis,Airbnb.com,204.38,204.3800048828125
536,27-12-2022,11-02-2023,16-02-2023,4591.14,4591.14,0,262,262,0,4853.14,4853.14,0,4853.14,0,391,Florianópolis,Booking.com,,630.9099731445312
537,19-01-2023,16-02-2023,21-02-2023,1434,1434,0,192,192,0,1626,1626,0,1626,0,333,Itapema,Airbnb.com,251.18,251.1799926757812
538,13-01-2023,15-01-2023,20-01-2023,1416,1416,0,175,175,0,1591,1591,0,1591,0,236,Florianópolis,Airbnb.com,245.78,245.7799987792969
539,10-01-2023,10-02-2023,11-02-2023,3966,3966,0,265,265,0,4231,4231,0,4231,0,304,Itapema,Airbnb.com,653.59,653.5900268554688
540,30-11-2022,16-01-2023,26-01-2023,5384,5384,0,416,416,0,5800,5800,0,5800,0,152,Florianópolis,Airbnb.com,895.98,895.97998046875
541,19-12-2022,01-02-2023,07-02-2023,6703,6703,0,296,296,0,6999,6999,0,6999,0,298,Florianópolis,Airbnb.com,1081.2,1081.199951171875
542,01-12-2022,12-12-2022,15-12-2022,2702,2702,0,174,174,0,2876,2876,0,2876,0,313,Florianópolis,Airbnb.com,444.28,444.2799987792969
543,27-11-2022,17-12-2022,18-12-2022,1558,1558,0,236,236,0,1794,1794,0,1794,0,148,Florianópolis,Airbnb.com,277.15,277.1499938964844
544,24-01-2023,29-01-2023,02-02-2023,865,865,0,228,228,0,1093,1093,0,1093,0,208,Florianópolis,Airbnb.com,168.85,168.8500061035156
545,05-01-2023,17-02-2023,18-02-2023,0,0,0,0,0,0,0,0,0,0,0,264,Florianópolis,,,
546,08-12-2022,05-01-2023,10-01-2023,8664,8664,0,795,795,0,9459,9459,0,9459,0,308,Florianópolis,Airbnb.com,1461.23,1461.22998046875
547,14-01-2023,15-01-2023,19-01-2023,0,0,0,0,0,0,0,0,0,0,0,139,Florianópolis,,,
548,18-01-2023,23-01-2023,24-01-2023,0,0,0,0,0,0,0,0,0,0,0,332,Florianópolis,,,
549,11-12-2022,16-12-2022,17-12-2022,0,0,0,0,0,0,0,0,0,0,0,212,Florianópolis,,,
550,24-12-2022,06-01-2023,08-01-2023,909,909,0,141,141,0,1050,1050,0,1050,0,119,Florianópolis,Airbnb.com,162.2,162.1999969482422
551,04-12-2022,08-12-2022,11-12-2022,622.52,622.52,0,138,138,0,760.52,760.52,0,760.52,0,258,Florianópolis,Booking.com,,98.87000274658203
552,15-12-2022,16-12-2022,18-12-2022,2096.96,2096.96,0,252,252,0,2348.96,2348.96,0,2348.96,0,368,Florianópolis,Booking.com,,305.3599853515625
553,03-01-2023,03-01-2023,07-01-2023,4188,4188,0,354,354,0,4542,4542,0,4542,0,129,Florianópolis,Airbnb.com,701.66,701.6599731445312
554,07-12-2022,07-12-2022,08-12-2022,1810,1810,0,194,194,0,2004,2004,0,2004,0,208,Florianópolis,Airbnb.com,309.58,309.5799865722656
555,18-01-2023,24-01-2023,26-01-2023,1089.41,1089.41,0,138,138,0,1227.41,1227.41,0,1227.41,0,210,Florianópolis,Booking.com,,159.5599975585938
556,24-12-2022,03-01-2023,07-01-2023,1594,1594,0,453,453,0,2047,2047,0,2047,0,319,Florianópolis,Airbnb.com,316.22,316.2200012207031
557,10-01-2023,06-02-2023,10-02-2023,0,0,0,0,0,0,0,0,0,0,0,339,Florianópolis,,,
558,19-12-2022,01-02-2023,07-02-2023,4248,4248,0,260,260,0,4508,4508,0,4508,0,300,Florianópolis,Airbnb.com,696.4,696.4000244140625
559,12-12-2022,18-12-2022,22-12-2022,8328.32,8328.32,0,366,366,0,8694.32,8694.32,0,8694.32,0,357,Florianópolis,Booking.com,,1130.260009765625
560,19-12-2022,09-01-2023,10-01-2023,413,413,0,0,0,0,413,413,0,0,413,282,Itapema,,,
561,27-11-2022,10-12-2022,21-12-2022,3088.26,3088.26,0,185,185,0,3273.26,3273.26,0,3273.26,0,165,Florianópolis,Booking.com,,425.5199890136719
562,14-01-2023,15-03-2023,21-03-2023,1116,1116,0,200,200,0,1316,1316,0,1316,0,263,Florianópolis,Airbnb.com,203.3,203.3000030517578
563,04-12-2022,29-01-2023,03-02-2023,6868.2,6868.2,0,315,315,0,7183.2,7183.2,0,7183.2,0,275,Florianópolis,Booking.com,,933.8200073242188
564,31-12-2022,13-01-2023,19-01-2023,0,0,0,0,0,0,0,0,0,912.25,0,218,Florianópolis,Booking.com,,
565,31-12-2022,02-02-2023,03-02-2023,0,0,0,0,0,0,0,0,0,0,0,330,Florianópolis,,,
566,04-01-2023,29-01-2023,01-02-2023,3460,3460,0,293,293,0,3753,3753,0,3753,0,188,Florianópolis,Airbnb.com,579.76,579.760009765625
567,18-12-2022,18-12-2022,24-12-2022,16262.1,16262.1,0,238,238,0,16500.1,16500.1,0,16500.1,0,167,Florianópolis,Airbnb.com,2548.96,2548.9599609375
568,18-12-2022,10-02-2023,20-02-2023,1493,1493,0,286,286,0,1779,1779,0,1779,0,156,Florianópolis,Airbnb.com,274.82,274.8200073242188
569,10-12-2022,15-12-2022,16-12-2022,0,0,0,0,0,0,0,0,0,0,0,351,Florianópolis,,,
570,17-12-2022,23-01-2023,24-01-2023,2676.96,2676.96,0,373,373,0,3049.96,3049.96,0,3049.96,0,285,Florianópolis,Booking.com,,396.489990234375
571,16-01-2023,07-02-2023,15-02-2023,1168,1168,0,199,199,0,1367,1367,0,1367,0,126,Balneário Camboriú,Airbnb.com,211.16,211.1600036621094
572,28-12-2022,05-02-2023,25-02-2023,1911,1911,0,187,187,0,2098,2098,0,2098,0,185,Florianópolis,Airbnb.com,324.1,324.1000061035156
573,18-01-2023,24-01-2023,25-01-2023,2471,2471,0,187,187,0,2658,2658,0,2658,0,295,Florianópolis,Airbnb.com,410.61,410.6099853515625
574,20-01-2023,07-02-2023,11-02-2023,4459,4459,0,187,187,0,4646,4646,0,4646,0,362,Itapema,Airbnb.com,717.71,717.7100219726562
575,22-01-2023,01-02-2023,06-02-2023,1837.37,1837.37,0,262,262,0,2099.37,2099.37,0,2099.37,0,230,Florianópolis,Booking.com,,272.9200134277344
576,08-12-2022,14-12-2022,15-12-2022,3412,3412,0,306,306,0,3718,3718,0,3718,0,133,Florianópolis,Airbnb.com,574.36,574.3599853515625
577,27-12-2022,05-01-2023,06-01-2023,2756,2756,0,389,389,0,3145,3145,0,3145,0,111,Florianópolis,Airbnb.com,485.84,485.8399963378906
578,05-01-2023,25-02-2023,02-03-2023,1598,1598,0,248,248,0,1846,1846,0,1846,0,336,Florianópolis,Airbnb.com,285.17,285.1700134277344
579,23-12-2022,04-01-2023,13-01-2023,1357.4,1357.4,0,159,159,0,1516.4,1516.4,0,1516.4,0,345,Florianópolis,Booking.com,,197.1300048828125
580,25-01-2023,01-02-2023,06-02-2023,2264.61,2264.61,0,185,185,0,2449.61,2449.61,0,2449.61,0,283,Florianópolis,Booking.com,,318.4500122070312
581,06-01-2023,17-02-2023,21-02-2023,2141.6,2141.6,0,183,183,0,2324.6,2324.6,0,2324.6,0,126,Florianópolis,Booking.com,,302.2000122070312
582,22-01-2023,02-02-2023,06-02-2023,1797,1797,0,218,218,0,2015,2015,0,2015,0,283,Florianópolis,Airbnb.com,311.28,311.2799987792969
583,28-12-2022,25-12-2022,26-12-2022,108,108,0,0,0,0,108,108,0,0,108,282,Florianópolis,,,
584,23-12-2022,12-01-2023,13-01-2023,1697,1697,0,182,182,0,1879,1879,0,1879,0,102,Florianópolis,Airbnb.com,290.27,290.2699890136719
585,29-11-2022,29-12-2022,02-01-2023,0,0,0,0,0,0,0,0,0,0,0,173,Florianópolis,,,
586,04-01-2023,18-02-2023,23-02-2023,1322,1322,0,200,200,0,1522,1522,0,1522,0,106,Florianópolis,Airbnb.com,235.12,235.1199951171875
587,17-12-2022,21-01-2023,22-01-2023,1587,1587,0,259,259,0,1846,1846,0,1846,0,241,Florianópolis,Airbnb.com,285.17,285.1700134277344
588,29-11-2022,08-12-2022,12-12-2022,0,0,0,0,0,0,0,0,0,0,0,296,Florianópolis,,,
589,22-12-2022,09-01-2023,15-01-2023,0,0,0,0,0,0,0,0,0,0,0,162,Florianópolis,,,
590,12-01-2023,28-01-2023,29-01-2023,2481,2481,0,218,218,0,2699,2699,0,2699,0,126,Florianópolis,Airbnb.com,416.94,416.9400024414062
591,03-01-2023,17-02-2023,22-02-2023,1296,1296,0,168,168,0,1464,1464,0,1464,0,335,Florianópolis,Airbnb.com,226.13,226.1300048828125
592,11-01-2023,13-02-2023,18-02-2023,1860,1860,0,173,173,0,2033,2033,0,2033,0,363,Itapema,Airbnb.com,314.06,314.0599975585938
593,04-12-2022,28-12-2022,29-12-2022,5817,5817,0,607,607,0,6424,6424,0,6424,0,389,Florianópolis,Airbnb.com,992.39,992.3900146484375
594,20-12-2022,30-01-2023,06-02-2023,1905.62,1905.62,0,247,247,0,2152.62,2152.62,0,2152.62,0,340,Florianópolis,Booking.com,,279.8399963378906
595,23-01-2023,17-02-2023,21-02-2023,5954.13,5954.13,0,271,271,0,6225.13,6225.13,0,0,6225.13,378,Florianópolis,Anfitrioesdealuguel.com.br,595.412,
596,29-12-2022,12-02-2023,01-03-2023,7860.6,7860.6,0,281,281,0,8141.6,8141.6,0,8141.6,0,176,Florianópolis,Airbnb.com,1257.71,1257.7099609375
597,03-12-2022,10-12-2022,15-12-2022,0,0,0,0,0,0,0,0,0,0,0,200,Balneário Camboriú,,,
598,29-12-2022,30-12-2022,02-01-2023,1564,1564,0,225,225,0,1789,1789,0,1789,0,196,Florianópolis,Airbnb.com,276.35,276.3500061035156
599,10-01-2023,17-01-2023,26-01-2023,0,0,0,0,0,0,0,0,0,0,0,371,Florianópolis,,,
600,20-01-2023,01-02-2023,07-02-2023,1987,1987,0,213,213,0,2200,2200,0,2200,0,389,Florianópolis,Airbnb.com,339.88,339.8800048828125
601,06-01-2023,08-01-2023,12-01-2023,0,0,0,0,0,0,0,0,0,0,0,334,Florianópolis,,,
602,26-12-2022,04-02-2023,19-02-2023,3354,3354,0,290,290,0,3644,3644,0,3644,0,196,Florianópolis,Airbnb.com,562.92,562.9199829101562
603,06-01-2023,09-01-2023,15-01-2023,0,0,0,0,0,0,0,0,0,0,0,386,Florianópolis,,,
604,13-12-2022,04-01-2023,07-01-2023,0,0,0,0,0,0,0,0,0,0,0,368,Florianópolis,Airbnb.com,0,
605,29-12-2022,30-12-2022,02-01-2023,1397,1397,0,344,344,0,1741,1741,0,1741,0,241,Florianópolis,Airbnb.com,268.95,268.9500122070312
606,01-12-2022,19-12-2022,20-12-2022,5299.84,5299.84,0,0,0,0,5299.84,5299.84,0,5299.84,0,128,Florianópolis,Booking.com,,688.97998046875
607,14-12-2022,08-01-2023,12-01-2023,3785.6,3785.6,0,331,331,0,4116.6,4116.6,0,4116.6,0,331,Florianópolis,Booking.com,,535.1599731445312
608,26-12-2022,01-02-2023,07-02-2023,149,149,0,0,0,0,149,149,0,0,149,248,Florianópolis,,,
609,17-12-2022,28-12-2022,29-12-2022,194,194,0,0,0,0,194,194,0,194,0,230,Florianópolis,,,
610,16-01-2023,30-01-2023,02-02-2023,6132,6132,0,488,488,0,6620,6620,0,6620,0,141,Florianópolis,Airbnb.com,1022.66,1022.659973144531
611,29-12-2022,30-12-2022,05-01-2023,2628,2628,0,0,0,0,2628,2628,0,3116,0,205,Florianópolis,Airbnb.com,481.36,481.3599853515625
612,15-01-2023,06-02-2023,16-02-2023,6391.13,6391.13,0,303,303,0,6694.13,6694.13,0,0,6694.13,133,Florianópolis,Anfitrioesdealuguel.com.br,639.112,
613,14-12-2022,06-01-2023,09-01-2023,0,0,0,0,0,0,0,0,0,0,0,108,Florianópolis,,,
